https://www.namauto.com/cars/9680260-honda-brio-1.2-comfort/,"N$ 79,900",Honda,BRIO,1.2 COMFORT,20UCA00220,1,N/A,Blue,BROWN,BLUE,4,Petrol,Sedan,"124,000 km",1.2 l,Manual
https://www.namauto.com/cars/9861733-kia-picanto-1.2-ex/,"N$ 85,900",Kia,Picanto,1.2 EX,PIC12EXGOL,2,N/A,Bronze,Black and Grey,bronze,5,Petrol,Hatchback,"113,000 km",1.2 l,Manual
https://www.namauto.com/cars/10106972-kia-picanto-1.0-lx/,"N$ 99,700",Kia,Picanto,1.0 LX,N194343W,1,N/A,Silver,Grey,BRIGHT SILVER,5,Petrol,Hatchback,"71,915 km",1 l,Manual
https://www.namauto.com/cars/10114740-kia-picanto-1.2-ex/,"N$ 99,900",Kia,Picanto,1.2 EX,20UCA34278,1,N/A,Red,N/A,RED,5,Petrol,Hatchback,"121,000 km",1.2 l,Manual
https://www.namauto.com/cars/10331852-hyundai-i20-1.4-d-glide/,"N$ 99,900",Hyundai,i20,1.4D GLIDE,USED,1,N/A,White,Black,White,5,Diesel,Hatchback,"132,000 km",1.4 l,Manual
https://www.namauto.com/cars/10342618-audi-a3-1.4-tfsi-attraction/,"N$ 99,900",Audi,A3,1.4 TFSI ATTRACTION,PREOWNED,1,N/A,Silver,Black,Silver,3,Petrol,Hatchback,"99,500 km",1.4 l,Manual
https://www.namauto.com/cars/10257681-toyota-etios-1.5-sprint/,"N$ 108,900",Toyota,ETIOS,1.5 Sprint,MASTERCARS,1,N/A,Red,Grey,Red,4,Petrol,Sedan,"64,500 km",1.5 l,Manual
https://www.namauto.com/cars/9413866-toyota-etios-1.5-xs-sedan/,"N$ 109,900",Toyota,ETIOS,1.5 XS Sedan,14ETIOSWIT,2,N/A,White,Black,white,4,Petrol,Sedan,"89,000 km",1.5 l,Manual
https://www.namauto.com/cars/9932769-jeep-grand-cherokee-3.0-crd-laredo/,"N$ 109,900",Jeep,Grand Cherokee,3.0 CRD LAREDO,USED,2,N/A,Bronze,Grey,Brown,5,Diesel,SUV,"243,000 km",3 l,Automatic
https://www.namauto.com/cars/9684905-toyota-etios-1.5-xs-5-dr/,"N$ 115,900",Toyota,ETIOS,1.5 Xs 5Dr,SIL15XS5DR,1,N/A,Silver,Black and Grey,silver,5,Petrol,Hatchback,"75,000 km",1.5 l,Manual
https://www.namauto.com/cars/9382421-volvo-s40-2.0-powershift/,"N$ 119,900",Volvo,S40,2.0 POWERSHIFT,USED,1,N/A,White,Black,White,4,Petrol,Sedan,"91,000 km",2 l,Automatic
https://www.namauto.com/cars/9606574-datsun-go-1.2-lux-ab/,"N$ 119,900",Datsun,GO,1.2 LUX (AB),PREOWNED,1,N/A,White,grey/black,White,5,Petrol,Hatchback,"8,500 km",1.2 l,Manual
https://www.namauto.com/cars/10181716-tata-bolt-1.2-t-xt-5-dr/,"N$ 119,900",TATA,BOLT,1.2T XT 5DR,PREOWNED,1,N/A,Red,Black,RED,5,Petrol,Hatchback,"22,000 km",1.2 l,Manual
https://www.namauto.com/cars/10195734-renault-sandero-900-t-dynamique/,"N$ 119,900",Renault,SANDERO,900 T DYNAMIQUE,PREOWNED,1,N/A,Silver,Black,Silver,5,Petrol,Hatchback,"49,500 km",0.9 l,Manual
https://www.namauto.com/cars/9769645-alfa-romeo-gt-3.2-v6-distinctive/,"N$ 120,000",Alfa Romeo,GT,3.2 V6 DISTINCTIVE,10UCA67441,1,N/A,Gold,Black,Gold,2,Petrol,Coupe,"87,000 km",3.2 l,Manual
